"Company Name","Parent Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Legal Name","Record Type","Location Sales Volume Actual"
"Walmart Bakery","WALMART INC","","","2300 US Highway 34","Oswego","IL","60543","","Verified","$508,000"
"Walmart Bakery","WALMART INC","","","22401 Central Ave","Richton Park","IL","60471","","Verified","$668,000"
"Walmart Bakery","WALMART INC","","","420 S Weber Rd","Romeoville","IL","60446","","Verified","$713,000"
"Walmart Bakery","WALMART INC","","","3626 Touhy Ave","Skokie","IL","60076","","Verified","$668,000"
"Walmart Bakery","WALMART INC","","","150 Smith Rd","Saint Charles","IL","60174","","Verified","$627,000"
"Walmart Bakery","WALMART INC","","","1455 E Lake Cook Rd","Wheeling","IL","60090","","Verified","$789,000"
"Walmart Bakery","WALMART INC","","","4000 Route 173","Zion","IL","60099","","Verified","$729,000"
"Warm Belly Bakery","","Christopher","Almaguer","4044 N Lincoln Ave","Chicago","IL","60618","","Unverified","$546,000"
"Weber's Bakery","","Michael L","Weber","7055 W Archer Ave","Chicago","IL","60638","","Verified","$910,000"
"When In Rome Bakery & Cafe LLC","","","","1323 W 53rd Pl","La Grange Highlands","IL","60525","WHEN IN ROME BAKERY & CAFE LLC","Unverified","$655,000"
